Date,Series,Value
2010-05-19,MSNBC,0
2010-05-20,MSNBC,0
2010-05-21,MSNBC,0
2010-05-22,MSNBC,0
2010-05-23,MSNBC,0
2010-05-24,MSNBC,0
2010-05-25,MSNBC,0
2010-05-26,MSNBC,0
2010-05-27,MSNBC,0
2010-05-28,MSNBC,0
2010-05-29,MSNBC,0
2010-05-30,MSNBC,0
2010-05-31,MSNBC,0
2010-06-01,MSNBC,0
2010-06-02,MSNBC,0
2010-06-03,MSNBC,0
2010-06-04,MSNBC,0
2010-06-05,MSNBC,0
2010-06-06,MSNBC,0
2010-06-07,MSNBC,0
2010-06-08,MSNBC,0
2010-06-09,MSNBC,0
2010-06-10,MSNBC,0
2010-06-11,MSNBC,0
2010-06-12,MSNBC,0
2010-06-13,MSNBC,0
2010-06-14,MSNBC,0
2010-06-15,MSNBC,0.0268
2010-06-16,MSNBC,0
2010-06-17,MSNBC,0
2010-06-18,MSNBC,0
2010-06-19,MSNBC,0.0284
2010-06-20,MSNBC,0
2010-06-21,MSNBC,0
2010-06-22,MSNBC,0
2010-06-23,MSNBC,0
2010-06-24,MSNBC,0
2010-06-25,MSNBC,0
2010-06-26,MSNBC,0
2010-06-27,MSNBC,0.1715
2010-06-28,MSNBC,0.5284
2010-06-29,MSNBC,0.3395
2010-06-30,MSNBC,0
2010-07-01,MSNBC,0
2010-07-02,MSNBC,0.0559
2010-07-03,MSNBC,0
2010-07-04,MSNBC,0
2010-07-05,MSNBC,0
2010-07-06,MSNBC,0
2010-07-07,MSNBC,0
2010-07-08,MSNBC,0
2010-07-09,MSNBC,0
2010-07-10,MSNBC,0
2010-07-11,MSNBC,0
2010-07-12,MSNBC,0
2010-07-13,MSNBC,0
2010-07-14,MSNBC,0
2010-07-15,MSNBC,0.0276
2010-07-16,MSNBC,0
2010-07-17,MSNBC,0
2010-07-18,MSNBC,0
2010-07-19,MSNBC,0
2010-07-20,MSNBC,0
2010-07-21,MSNBC,0
2010-07-22,MSNBC,0
2010-07-23,MSNBC,0
2010-07-24,MSNBC,0
2010-07-25,MSNBC,0
2010-07-26,MSNBC,0
2010-07-27,MSNBC,0
2010-07-28,MSNBC,0.0538
2010-07-29,MSNBC,0
2010-07-30,MSNBC,0
2010-07-31,MSNBC,0
2010-08-01,MSNBC,0
2010-08-02,MSNBC,0
2010-08-03,MSNBC,0.0274
2010-08-04,MSNBC,0
2010-08-05,MSNBC,0.0268
2010-08-06,MSNBC,0.0274
2010-08-07,MSNBC,0
2010-08-08,MSNBC,0
2010-08-09,MSNBC,0
2010-08-10,MSNBC,0
2010-08-11,MSNBC,0
2010-08-12,MSNBC,0
2010-08-13,MSNBC,0
2010-08-14,MSNBC,0
2010-08-15,MSNBC,0
2010-08-16,MSNBC,0
2010-08-17,MSNBC,0.0794
2010-08-18,MSNBC,0
2010-08-19,MSNBC,0
2010-08-20,MSNBC,0
2010-08-21,MSNBC,0
2010-08-22,MSNBC,0
2010-08-23,MSNBC,0
2010-08-24,MSNBC,0
2010-08-25,MSNBC,0
2010-08-26,MSNBC,0
2010-08-27,MSNBC,0
2010-08-28,MSNBC,0
2010-08-29,MSNBC,0
2010-08-30,MSNBC,0
2010-08-31,MSNBC,0
2010-09-01,MSNBC,0
2010-09-02,MSNBC,0
2010-09-03,MSNBC,0
2010-09-04,MSNBC,0
2010-09-05,MSNBC,0
2010-09-06,MSNBC,0
2010-09-07,MSNBC,0
2010-09-08,MSNBC,0
2010-09-09,MSNBC,0
2010-09-10,MSNBC,0
2010-09-11,MSNBC,0
2010-09-12,MSNBC,0.0661
2010-09-13,MSNBC,0.0632
2010-09-14,MSNBC,0
2010-09-15,MSNBC,0.0224
2010-09-16,MSNBC,0
2010-09-17,MSNBC,0
2010-09-18,MSNBC,0
2010-09-19,MSNBC,0
2010-09-20,MSNBC,0
2010-09-21,MSNBC,0
2010-09-22,MSNBC,0
2010-09-23,MSNBC,0
2010-09-24,MSNBC,0.0228
2010-09-25,MSNBC,0
2010-09-26,MSNBC,0
2010-09-27,MSNBC,0
2010-09-28,MSNBC,0
2010-09-29,MSNBC,0
2010-09-30,MSNBC,0
2010-10-01,MSNBC,0
2010-10-02,MSNBC,0
2010-10-03,MSNBC,0
2010-10-04,MSNBC,0
2010-10-05,MSNBC,0
2010-10-06,MSNBC,0
2010-10-07,MSNBC,0.0452
2010-10-08,MSNBC,0.0232
2010-10-09,MSNBC,0.1226
2010-10-10,MSNBC,0
2010-10-11,MSNBC,0
2010-10-12,MSNBC,0
2010-10-13,MSNBC,0
2010-10-14,MSNBC,0
2010-10-15,MSNBC,0
2010-10-16,MSNBC,0
2010-10-17,MSNBC,0
2010-10-18,MSNBC,0
2010-10-19,MSNBC,0
2010-10-20,MSNBC,0
2010-10-21,MSNBC,0.0466
2010-10-22,MSNBC,0.0690
2010-10-23,MSNBC,0
2010-10-24,MSNBC,0
2010-10-25,MSNBC,0
2010-10-26,MSNBC,0.0230
2010-10-27,MSNBC,0.0231
2010-10-28,MSNBC,0.0230
2010-10-29,MSNBC,0
2010-10-30,MSNBC,0
2010-10-31,MSNBC,0
2010-11-01,MSNBC,0
2010-11-02,MSNBC,0.0227
2010-11-03,MSNBC,0
2010-11-04,MSNBC,0
2010-11-05,MSNBC,0
2010-11-06,MSNBC,0
2010-11-07,MSNBC,0
2010-11-08,MSNBC,0
2010-11-09,MSNBC,0
2010-11-10,MSNBC,0
2010-11-11,MSNBC,0
2010-11-12,MSNBC,0
2010-11-13,MSNBC,0
2010-11-14,MSNBC,0
2010-11-15,MSNBC,0
2010-11-16,MSNBC,0
2010-11-17,MSNBC,0
2010-11-18,MSNBC,0
2010-11-19,MSNBC,0.0462
2010-11-20,MSNBC,0
2010-11-21,MSNBC,0
2010-11-22,MSNBC,0
2010-11-23,MSNBC,0
2010-11-24,MSNBC,0
2010-11-25,MSNBC,0
2010-11-26,MSNBC,0
2010-11-27,MSNBC,0
2010-11-28,MSNBC,0
2010-11-29,MSNBC,0
2010-11-30,MSNBC,0.0220
2010-12-01,MSNBC,0
2010-12-02,MSNBC,0
2010-12-03,MSNBC,0
2010-12-04,MSNBC,0
2010-12-05,MSNBC,0
2010-12-06,MSNBC,0
2010-12-07,MSNBC,0
2010-12-08,MSNBC,0
2010-12-09,MSNBC,0
2010-12-10,MSNBC,0
2010-12-11,MSNBC,0
2010-12-12,MSNBC,0
2010-12-13,MSNBC,0
2010-12-14,MSNBC,0
2010-12-15,MSNBC,0
2010-12-16,MSNBC,0
2010-12-17,MSNBC,0
2010-12-18,MSNBC,0
2010-12-19,MSNBC,0
2010-12-20,MSNBC,0
2010-12-21,MSNBC,0
2010-12-22,MSNBC,0
2010-12-23,MSNBC,0
2010-12-24,MSNBC,0
2010-12-25,MSNBC,0
2010-12-26,MSNBC,0
2010-12-27,MSNBC,0
2010-12-28,MSNBC,0
2010-12-29,MSNBC,0
2010-12-30,MSNBC,0
2010-12-31,MSNBC,0
2011-01-01,MSNBC,0
2011-01-02,MSNBC,0
2011-01-03,MSNBC,0
2011-01-04,MSNBC,0
2011-01-05,MSNBC,0
2011-01-06,MSNBC,0
2011-01-07,MSNBC,0
2011-01-08,MSNBC,0
2011-01-09,MSNBC,0
2011-01-10,MSNBC,0.5051
2011-01-11,MSNBC,1.6092
2011-01-12,MSNBC,2.0523
2011-01-13,MSNBC,1.2048
2011-01-14,MSNBC,0.7942
2011-01-15,MSNBC,0.4192
2011-01-16,MSNBC,0.6329
2011-01-17,MSNBC,0.4647
2011-01-18,MSNBC,0.5531
2011-01-19,MSNBC,0.0896
2011-01-20,MSNBC,0.5398
2011-01-21,MSNBC,0.0670
2011-01-22,MSNBC,0
2011-01-23,MSNBC,0.0883
2011-01-24,MSNBC,0.0661
2011-01-25,MSNBC,0.5484
2011-01-26,MSNBC,0.9526
2011-01-27,MSNBC,0.4881
2011-01-28,MSNBC,0.2431
2011-01-29,MSNBC,0
2011-01-30,MSNBC,0
2011-01-31,MSNBC,0.0663
2011-02-01,MSNBC,0.4973
2011-02-02,MSNBC,0.0222
2011-02-03,MSNBC,0.0427
2011-02-04,MSNBC,0
2011-02-05,MSNBC,0
2011-02-06,MSNBC,0
2011-02-07,MSNBC,0
2011-02-08,MSNBC,0
2011-02-09,MSNBC,0.0224
2011-02-10,MSNBC,0.0217
2011-02-11,MSNBC,0.0438
2011-02-12,MSNBC,0.2481
2011-02-13,MSNBC,0
2011-02-14,MSNBC,0
2011-02-15,MSNBC,0
2011-02-16,MSNBC,0
2011-02-17,MSNBC,0
2011-02-18,MSNBC,0.0903
2011-02-19,MSNBC,0
2011-02-20,MSNBC,0
2011-02-21,MSNBC,0
2011-02-22,MSNBC,0
2011-02-23,MSNBC,0
2011-02-24,MSNBC,0.0444
2011-02-25,MSNBC,0
2011-02-26,MSNBC,0
2011-02-27,MSNBC,0
2011-02-28,MSNBC,0.0994
2011-03-01,MSNBC,0
2011-03-02,MSNBC,0
2011-03-03,MSNBC,0.0661
2011-03-04,MSNBC,0
2011-03-05,MSNBC,0
2011-03-06,MSNBC,0
2011-03-07,MSNBC,0
2011-03-08,MSNBC,0
2011-03-09,MSNBC,0
2011-03-10,MSNBC,0.0219
2011-03-11,MSNBC,0
2011-03-12,MSNBC,0
2011-03-13,MSNBC,0
2011-03-14,MSNBC,0.2175
2011-03-15,MSNBC,0.3353
2011-03-16,MSNBC,0
2011-03-17,MSNBC,0
2011-03-18,MSNBC,0
2011-03-19,MSNBC,0
2011-03-20,MSNBC,0
2011-03-21,MSNBC,0.0329
2011-03-22,MSNBC,0
2011-03-23,MSNBC,0.0451
2011-03-24,MSNBC,0.0469
2011-03-25,MSNBC,0
2011-03-26,MSNBC,0
2011-03-27,MSNBC,0
2011-03-28,MSNBC,0.0327
2011-03-29,MSNBC,0.0920
2011-03-30,MSNBC,0.3216
2011-03-31,MSNBC,0.1384
2011-04-01,MSNBC,0
